CLANAE04 ID,CLANAE04 label,CLANAE10 ID,CLANAE10 label
01111,Cultivo de cereales excepto los forrajeros y los de semillas para siembra,01111,"Cultivo de cereales, excepto los de uso forrajero"
01112,Cultivo de cereales forrajeros,01112,Cultivo de cereales de uso forrajero
01113,Cultivo de oleaginosas excepto el de semillas para siembra,01121,Cultivo de soja
01113,Cultivo de oleaginosas excepto el de semillas para siembra,01129,"Cultivo de oleaginosas n.c.p., excepto soja"
01114,Cultivo de  pastos forrajeros  ,01113,Cultivo de pastos de uso forrajero
01121,"Cultivo de papa, batata y mandioca",01131,"Cultivo de papa, batata y mandioca"
01122,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto ",01132,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto "
01122,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto",01249,Cultivo de frutas n.c.p.
01123,Cultivo de hortalizas de hoja y de otras hortalizas frescas,01133,Cultivo de hortalizas de hoja y de otras hortalizas frescas
01124,Cultivo de legumbres,01134,Cultivo de legumbres
01125,Cultivo de flores y plantas ornamentales,01191,Cultivo de flores y plantas ornamentales
01131,Cultivo de frutas de pepita,01231,Cultivo de frutas de pepita
01132,Cultivo de frutas de carozo,01232,Cultivo de frutas de carozo
01133,Cultivo de frutas cítricas,01220,Cultivo de frutas cítricas
01134,Cultivo de nueces y frutas secas,01242,Cultivo de frutas secas
01135,Cultivo de frutas tropicales,01241,Cultivo de frutas tropicales y subtropicales
01139,Cultivo de frutas n.c.p.,01249,Cultivo de frutas n.c.p.
01141,Cultivo de plantas para la obtención de fibras,01150,Cultivo de plantas para la obtención de fibras
01142,Cultivo de plantas sacaríferas,01251,Cultivo de caña de azúcar
01142,Cultivo de plantas sacaríferas,01259,Cultivo de plantas sacaríferas n.c.p.
01143,Cultivo de vid para vinificar ,01211,Cultivo de uva para vinificar 
01144,Cultivo de plantas para preparar infusiones ,01270,Cultivo de plantas para preparar infusiones
01145,Cultivo de tabaco,01140,Cultivo de tabaco
01146,Cultivo de especias y de plantas aromáticas y medicinales,01280,Cultivo de especias y de plantas aromáticas y medicinales
01147,Cultivo de frutas oleaginosas,01260,Cultivo de frutos oleaginosos
01149,Cultivos industriales n.c.p.,01290,Cultivos perennes n.c.p.
01151,Producción de semillas,01111,"Cultivo de cereales, excepto los de uso forrajero"
01151,Producción de semillas,01112,Cultivo de cereales de uso forrajero
01151,Producción de semillas,01121,Cultivo de soja
01151,Producción de semillas,01129,"Cultivo de oleaginosas n.c.p., excepto soja"
01151,Producción de semillas,01131,"Cultivo de papa, batata y mandioca"
01151,Producción de semillas,01132,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto "
01151,Producción de semillas,01133,Cultivo de hortalizas de hoja y de otras hortalizas frescas
01151,Producción de semillas,01134,Cultivo de legumbres
01151,Producción de semillas,01140,Cultivo de tabaco
01151,Producción de semillas,01150,Cultivo de plantas para la obtención de fibras
01151,Producción de semillas,01191,Cultivo de flores y plantas ornamentales
01151,Producción de semillas,01199,Cultivos temporales n.c.p.
01151,Producción de semillas,01211,Cultivo de uva para vinificar 
01151,Producción de semillas,01212,Cultivo de uva de mesa
01151,Producción de semillas,01220,Cultivo de frutas cítricas
01151,Producción de semillas,01231,Cultivo de frutas de pepita
01151,Producción de semillas,01232,Cultivo de frutas de carozo
01151,Producción de semillas,01241,Cultivo de frutas tropicales y subtropicales
01151,Producción de semillas,01242,Cultivo de frutas secas
01151,Producción de semillas,01249,Cultivo de frutas n.c.p.
01151,Producción de semillas,01251,Cultivo de caña de azúcar
01151,Producción de semillas,01259,Cultivo de plantas sacaríferas n.c.p.
01151,Producción de semillas,01260,Cultivo de frutos oleaginosos
01151,Producción de semillas,01270,Cultivo de plantas para preparar infusiones
01151,Producción de semillas,01280,Cultivo de especias y de plantas aromáticas y medicinales
01151,Producción de semillas,01290,Cultivos perennes n.c.p.
01151,Producción de semillas,01301,Producción de semillas certificadas
01152,Producción de otras formas de propagación de cultivos agrícolas,01111,"Cultivo de cereales, excepto los de uso forrajero"
01152,Producción de otras formas de propagación de cultivos agrícolas,01112,Cultivo de cereales de uso forrajero
01152,Producción de otras formas de propagación de cultivos agrícolas,01121,Cultivo de soja
01152,Producción de otras formas de propagación de cultivos agrícolas,01129,"Cultivo de oleaginosas n.c.p., excepto soja"
01152,Producción de otras formas de propagación de cultivos agrícolas,01131,"Cultivo de papa, batata y mandioca"
01152,Producción de otras formas de propagación de cultivos agrícolas,01132,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto "
01152,Producción de otras formas de propagación de cultivos agrícolas,01133,Cultivo de hortalizas de hoja y de otras hortalizas frescas
01152,Producción de otras formas de propagación de cultivos agrícolas,01134,Cultivo de legumbres
01152,Producción de otras formas de propagación de cultivos agrícolas,01140,Cultivo de tabaco
01152,Producción de otras formas de propagación de cultivos agrícolas,01150,Cultivo de plantas para la obtención de fibras
01152,Producción de otras formas de propagación de cultivos agrícolas,01191,Cultivo de flores y plantas ornamentales
01152,Producción de otras formas de propagación de cultivos agrícolas,01199,Cultivos temporales n.c.p.
01152,Producción de otras formas de propagación de cultivos agrícolas,01211,Cultivo de uva para vinificar 
01152,Producción de otras formas de propagación de cultivos agrícolas,01212,Cultivo de uva de mesa
01152,Producción de otras formas de propagación de cultivos agrícolas,01220,Cultivo de frutas cítricas
01152,Producción de otras formas de propagación de cultivos agrícolas,01231,Cultivo de frutas de pepita
01152,Producción de otras formas de propagación de cultivos agrícolas,01232,Cultivo de frutas de carozo
01152,Producción de otras formas de propagación de cultivos agrícolas,01241,Cultivo de frutas tropicales y subtropicales
01152,Producción de otras formas de propagación de cultivos agrícolas,01242,Cultivo de frutas secas
01152,Producción de otras formas de propagación de cultivos agrícolas,01249,Cultivo de frutas n.c.p.
01152,Producción de otras formas de propagación de cultivos agrícolas,01251,Cultivo de caña de azúcar
01152,Producción de otras formas de propagación de cultivos agrícolas,01259,Cultivo de plantas sacaríferas n.c.p.
01152,Producción de otras formas de propagación de cultivos agrícolas,01260,Cultivo de frutos oleaginosos
01152,Producción de otras formas de propagación de cultivos agrícolas,01270,Cultivo de plantas para preparar infusiones
01152,Producción de otras formas de propagación de cultivos agrícolas,01280,Cultivo de especias y de plantas aromáticas y medicinales
01152,Producción de otras formas de propagación de cultivos agrícolas,01290,Cultivos perennes n.c.p.
01152,Producción de otras formas de propagación de cultivos agrícolas,01301,Producción de semillas certificadas
01152,Producción de otras formas de propagación de cultivos agrícolas,01302,Producción de otras formas de propagación de cultivos agrícolas
01153,Servicio de procesamiento de semillas para su siembra,01615,Servicios de procesamiento de semillas para siembra
01211,Cría de ganado bovino -excepto la realizada en cabañas y para la producción de leche-,01411,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche"
01212,Cría de ganado ovino -excepto la realizada en cabañas y para la producción de lana-,01441,"Cría de ganado ovino, excepto la realizada en cabañas y para la producción de lana y de leche"
01213,Cría de ganado porcino -excepto la realizada en cabañas-,01451,"Cría de ganado porcino, excepto la realizada en cabañas"
01214,Cría de ganado equino -excepto la realizada en haras-,01421,"Cría de ganado equino, excepto la realizada en haras"
01215,Cría de ganado caprino -excepto la realizada en cabañas y para la producción de leche-,01443,"Cría de ganado caprino, excepto la realizada en cabañas y para la producción de pelos y de leche"
01216,Cría de ganado en cabañas y haras ,01412,Cría de ganado bovino realizada en cabañas
01216,Cría de ganado en cabañas y haras ,01422,Cría de ganado equino realizada en haras
01216,Cría de ganado en cabañas y haras ,01442,Cría de ganado ovino realizada en cabañas
01216,Cría de ganado en cabañas y haras ,01444,Cría de ganado caprino realizada en cabañas
01216,Cría de ganado en cabañas y haras ,01452,Cría de ganado porcino realizada en cabañas
01217,Producción de leche    ,01461,Producción de leche bovina
01217,Producción de leche    ,01462,Producción de leche de oveja y de cabra
01218,Producción de lana y pelos de ganado,01471,Producción de lana y pelo de oveja y cabra (cruda)
01218,Producción de lana y pelos de ganado,01472,Producción de pelos de ganado n.c.p.
01219,Cría de ganado n.c.p.,01411,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche"
01219,Cría de ganado n.c.p.,01421,"Cría de ganado equino, excepto la realizada en haras"
01219,Cría de ganado n.c.p.,01431,Cría de camélidos
01221,Cría de aves  de corral,01481,"Cría de aves de corral, excepto para la producción de huevos"
01222,Producción de huevos,01482,Producción de huevos
01223,Apicultura,01491,Apicultura
01224,"Cría de animales pelíferos, pilíferos y plumíferos",01493,"Cría de animales pelíferos, pilíferos y plumíferos, excepto de las especies ganaderas"
01225,Cunicultura,01492,Cunicultura
01229,"Cría de animales y obtención de productos de origen animal, n.c.p.",01499,Cría de  animales y obtención de otros productos de origen animal n.c.p.
01229,"Cría de animales y obtención de productos de origen animal, n.c.p.",03200,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)"
01300,Actividades agropecuarias mixtas,-,no hay correspondencia
01411,"Servicios de maquinaria agrícola, excepto los de cosecha mecánica",01611,"Servicios de maquinaria agrícola, excepto los de cosecha mecánica"
01412,Servicios de cosecha mecánica,01612,Servicios de cosecha mecánica
01413,Servicios de contratistas de mano de obra agrícola ,01613,Servicios de contratistas de mano de obra agrícola 
01416,Servicio de post cosecha,01614,Servicios de post cosecha
01419,Servicios agrícolas n.c.p,01619,Servicios de apoyo agrícolas n.c.p.
01421,Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y el rendimiento de sus productos ,01621,Inseminación artificial y servicios para mejorar la reproducción de los animales y el rendimiento de sus productos 
01422,Servicios de contratistas de mano de obra pecuaria,01622,Servicios de contratistas de mano de obra pecuaria
01429,Servicios pecuarios n.c.p.,01623,Servicios de esquila de animales
01429,Servicios pecuarios n.c.p.,01629,Servicios de apoyo pecuarios n.c.p.
01501,Caza  y captura de animales vivos y repoblación  de animales de caza ,01701,Caza y repoblación  de animales de caza 
01502,Servicios para la caza,01702,Servicios de apoyo para la caza
02011,Plantación de bosques,02101,Plantación de bosques
02012,Repoblación y conservación de bosques nativos y zonas forestadas,02102,Repoblación y conservación de bosques nativos y zonas forestadas
02013,Explotación de viveros forestales ,02103,Explotación de viveros forestales 
02021,Extracción de productos forestales de bosques cultivados,02201,Extracción de productos forestales de bosques cultivados
02022,Extracción de productos forestales de bosques nativos,02202,Extracción de productos forestales de bosques nativos
02031,Servicios forestales de extracción de madera,02401,Servicios forestales para la extracción de madera
02039,Servicios forestales excepto los relacionados con la extracción de madera,02402,"Servicios forestales, excepto los servicios para la extracción de madera"
05011,Pesca marítima: costera y de altura,03111,Pesca de organismos marinos; excepto cuando es realizada en buques procesadores
05011,Pesca marítima: costera y de altura,03112,Pesca y elaboración de productos marinos realizada a bordo de buques procesadores
05012,Pesca continental : fluvial y lacustre,03120,Pesca continental: fluvial y lacustre
05013,Recolección de productos marinos,03113,"Recolección de organismos marinos excepto peces, crustáceos y moluscos"
05020,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",03200,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)"
05030,Servicios para la pesca,03130,Servicios de apoyo para la pesca
10100,Extracción y aglomeración de carbón,05100,Extracción y aglomeración de carbón
10100,Extracción y aglomeración de carbón,19200,Fabricación de productos de la refinación del petróleo
10200,Extracción y aglomeración de lignito,05200,Extracción y aglomeración de lignito
10200,Extracción y aglomeración de lignito,19200,Fabricación de productos de la refinación del petróleo
10300,Extracción y aglomeración de turba,08920,Extracción y aglomeración de turba
11101,Extracción de petróleo crudo,06100,Extracción de petróleo crudo
11102,Extracción de gas natural,06200,Extracción de gas natural
11102,Extracción de gas natural,09100,Servicios de apoyo para la extracción de petróleo y gas natural
11200,"Actividades  de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",09100,Servicios de apoyo para la extracción de petróleo y gas natural
12000,Servicios para la minería excepto servicios relacionados con la extracción de petróleo y gas y las actividades de prospección,09900,Servicios de apoyo para la minería; excepto para la extracción de petróleo y gas natural
13100,Extracción de minerales de hierro,07100,Extracción de minerales de hierro
13200,"Extracción de minerales metalíferos no ferrosos, excepto minerales de uranio y torio",07291,Extracción de metales preciosos
13200,"Extracción de minerales metalíferos no ferrosos, excepto minerales de uranio y torio",07299,"Extracción de minerales metalíferos no ferrosos n.c.p., excepto minerales de uranio y torio"
13300,Extracción de minerales y concentrados de uranio y torio,07210,Extracción de minerales y concentrados de uranio y torio
14110,Extracción de rocas ornamentales,08110,Extracción de rocas ornamentales
14120,Extracción de piedra caliza y yeso,08120,Extracción de piedra caliza y yeso
14130,"Extracción de arenas, canto rodado y triturados pétreos",08130,"Extracción de arenas, canto rodado y triturados pétreos"
14140,Extracción de arcilla y caolín,08140,Extracción de arcilla y caolín
14211,Extracción de minerales para la fabricación de abonos excepto turba,08911,"Extracción de minerales para la fabricación de abonos, excepto turba"
14212,Extracción de minerales para la fabricación de productos químicos,08912,Extracción de minerales para la fabricación de productos químicos
14220,Extracción de sal en salinas y de roca,08930,Extracción de sal
14290,Explotación de minas y canteras n.c.p.,08990,Explotación de minas y canteras n.c.p.
15111,Matanza de ganado bovino y procesamiento de su carne,10101,Matanza de ganado bovino y procesamiento de su carne
15112,Producción y procesamiento de carne de aves ,10102,Producción y procesamiento de carne de aves 
15113,Elaboración de fiambres y embutidos,10103,Elaboración de fiambres y embutidos
15114,Matanza  de ganado excepto el bovino y procesamiento de su carne,10104,Matanza  de ganado excepto el bovino y procesamiento de su carne
15119,Matanza de animales n.c.p. y procesamiento de su carne; Elaboración de subproductos cárnicos n.c.p.,10109,Matanza de animales n.c.p. y procesamiento de su carne; elaboración de subproductos cárnicos n.c.p.
15120,Elaboración de pescado y productos de pescado,10200,Elaboración de pescado y productos de pescado
15131,"Preparación de conservas de frutas, hortalizas y legumbres",10301,"Preparación de conservas de frutas, hortalizas y legumbres"
15132,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres",10302,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres"
15134,"Elaboración de frutas, hortalizas y legumbres congeladas",10303,"Elaboración de frutas, hortalizas y legumbres congeladas"
15139,"Elaboración de frutas, hortalizas y legumbres deshidratadas o desecadas; preparación n.c.p. de frutas, hortalizas y legumbres",10309,"Elaboración de frutas, hortalizas y legumbres deshidratadas o desecadas; preparación n.c.p. de frutas, hortalizas y legumbres"
15141,Elaboración de aceites y grasas de origen vegetal y sus subproductos; -excepto margarinas y similares-; elaboración de aceite virgen,10401,Elaboración de aceites y grasas de origen vegetal y sus subproductos; -excepto margarinas y similares-
15143,Elaboración de margarinas y grasas vegetales comestibles similares,10402,Elaboración de margarinas y grasas vegetales comestibles similares
15201,Elaboración de leches y productos lácteos deshidratados,10501,Elaboración de leches y productos lácteos deshidratados
15202,Elaboración de quesos,10502,Elaboración de quesos
15203,Elaboración industrial de helados,10503,Elaboración industrial de helados
15209,Elaboración de productos lácteos n.c.p.,10509,Elaboración de productos lácteos n.c.p.
15311,Molienda de trigo,10611,Molienda de trigo
15312,Preparación de arroz,10612,Preparación de arroz
15313,Preparación y molienda de legumbres y cereales -excepto trigo y arroz y molienda húmeda de maíz)-,10613,"Preparación y molienda de legumbres y cereales, excepto trigo y arroz y molienda húmeda de maíz"
15320,Elaboración de almidones y productos derivados del almidón,10620,Elaboración de almidones y productos derivados del almidón; molienda húmeda de maíz
15330,Elaboración de alimentos preparados para animales,10800,Elaboración de alimentos preparados para animales
15411,Elaboración de galletitas y bizcochos,10711,Elaboración de galletitas y bizcochos
15412,"Elaboración de productos de panadería, excluido galletitas y bizcochos",10712,"Elaboración de productos de panadería, excepto galletitas y bizcochos"
15420,Elaboración de azúcar,10720,Elaboración de azúcar
15430,Elaboración de cacao y chocolate y de productos de confitería,10730,"Elaboración de cacao, chocolate, productos de confitería y golosinas"
